n,Accuracy,F1 Score,Acc_Max,Acc_Min,F1_Max,F1_Min
2.0,0.8566416040100251,0.5238095238095238,1.0,0.7,1.0,0.0
3.0,0.8614035087719297,0.5396825396825397,1.0,0.7,1.0,0.0
4.0,0.8614035087719297,0.5396825396825397,1.0,0.7,1.0,0.0
5.0,0.8614035087719297,0.5396825396825397,1.0,0.7,1.0,0.0
6.0,0.8566416040100251,0.5238095238095237,1.0,0.7,1.0,0.0
7.0,0.8614035087719297,0.5396825396825397,1.0,0.7,1.0,0.0
8.0,0.8614035087719297,0.5396825396825397,1.0,0.7,1.0,0.0
9.0,0.8518796992481202,0.5079365079365078,1.0,0.7,1.0,0.0
10.0,0.8421052631578947,0.4761904761904761,1.0,0.6842105263157895,1.0,0.0
11.0,0.83734335839599,0.4603174603174603,1.0,0.6842105263157895,1.0,0.0
12.0,0.8421052631578947,0.4761904761904761,1.0,0.6842105263157895,1.0,0.0
