n,Accuracy,F1 Score,Acc_Max,Acc_Min,F1_Max,F1_Min
2.0,0.8375939849624059,0.4603174603174602,1.0,0.7,1.0,0.0
3.0,0.8423558897243107,0.47619047619047616,1.0,0.7,1.0,0.0
4.0,0.8709273182957392,0.5714285714285714,1.0,0.7,1.0,0.0
5.0,0.8566416040100251,0.5238095238095238,1.0,0.7894736842105263,1.0,0.3333333333333333
6.0,0.8664160401002506,0.5555555555555556,1.0,0.8,1.0,0.3333333333333333
7.0,0.8566416040100252,0.5238095238095238,0.9,0.7894736842105263,0.6666666666666666,0.3333333333333333
8.0,0.8471177944862157,0.4920634920634922,1.0,0.7894736842105263,1.0,0.3333333333333333
9.0,0.8375939849624061,0.46031746031746035,0.9,0.7,0.6666666666666666,0.0
10.0,0.8328320802005013,0.4444444444444445,0.9,0.7,0.6666666666666666,0.0
11.0,0.8137844611528823,0.3809523809523809,0.9,0.7,0.6666666666666666,0.0
12.0,0.8233082706766918,0.4126984126984127,0.9,0.7,0.6666666666666666,0.0
