FP2,Race,Qual,RedBull,Mercedes,Ferrari,AstonMartin,Alpine,McLaren,AlfaRomeo,Haas,Williams,AlphaTauri
1,19,2,1,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,0,0
3,2,3,0,0,1,0,0,0,0,0,0,0
4,4,9,0,1,0,0,0,0,0,0,0,0
5,9,8,0,0,0,0,1,0,0,0,0,0
6,6,6,0,0,0,0,0,0,1,0,0,0
7,18,4,1,0,0,0,0,0,0,0,0,0
8,11,12,0,0,0,0,0,0,0,1,0,0
9,3,5,0,1,0,0,0,0,0,0,0,0
10,5,7,0,0,0,0,0,0,0,1,0,0
11,15,13,0,0,0,0,0,1,0,0,0,0
12,7,11,0,0,0,0,1,0,0,0,0,0
13,20,10,0,0,0,0,0,0,0,0,0,1
14,8,16,0,0,0,0,0,0,0,0,0,1
15,10,15,0,0,0,0,0,0,1,0,0,0
16,12,19,0,0,0,1,0,0,0,0,0,0
17,17,17,0,0,0,1,0,0,0,0,0,0
18,14,18,0,0,0,0,0,1,0,0,0,0
19,16,20,0,0,0,0,0,0,0,0,1,0
20,13,14,0,0,0,0,0,0,0,0,1,0
2,1,4,1,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,0,0,0,0,0,0,0
3,3,3,0,0,1,0,0,0,0,0,0,0
6,5,6,0,1,0,0,0,0,0,0,0,0
11,16,7,0,0,0,0,1,0,0,0,0,0
9,15,8,0,0,0,0,0,0,1,0,0,0
4,4,1,1,0,0,0,0,0,0,0,0,0
13,20,14,0,0,0,0,0,0,0,1,0,0
5,10,16,0,1,0,0,0,0,0,0,0,0
20,9,10,0,0,0,0,0,0,0,1,0,0
7,7,11,0,0,0,0,0,1,0,0,0,0
8,6,5,0,0,0,0,1,0,0,0,0,0
12,8,9,0,0,0,0,0,0,0,0,0,1
10,19,20,0,0,0,0,0,0,0,0,0,1
17,11,13,0,0,0,0,0,0,1,0,0,0
14,13,15,0,0,0,1,0,0,0,0,0,0
16,12,18,0,0,0,1,0,0,0,0,0,0
15,17,12,0,0,0,0,0,1,0,0,0,0
18,18,19,0,0,0,0,0,0,0,0,1,0
19,14,17,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,0,0,0,0,0,0,0,0
3,2,3,0,0,1,0,0,0,0,0,0,0
