asset,constructor,score,price,type,weight,projected_gain,pred_score
VER,red_bull,14,28.6,driver,1.0,-0.26,19
NOR,mclaren,28.8,30.8,driver,1.0,0.2,27
LEC,ferrari,21.6,24.1,driver,1.0,-0.1,23
HAM,ferrari,18.8,23.4,driver,0.873,0.17,13
PIA,mclaren,33.4,25.8,driver,0.887,0.27,35
SAI,williams,0.2,7.1,driver,1.0,-0.6,-4
RUS,mercedes,20.2,22.4,driver,1.0,0.0,16
ALO,aston_martin,7.2,6.3,driver,1.0,0.2,-2
DOO,alpine,-100,0.0,driver,0.333,0.0,-100
STR,aston_martin,3.6,8.5,driver,0.342,0.39,2
TSU,red_bull,4.8,12.4,driver,1.0,-0.41,4
GAS,alpine,2.6,6.6,driver,1.0,0.14,0
HUL,sauber,22,8.4,driver,0.55,0.6,-4
ALB,williams,-7.4,11.2,driver,0.643,-0.6,-2
ANT,mercedes,-2.6,17.1,driver,0.3,-0.6,10
HAD,racing_bulls,3,6.3,driver,0.5,-0.56,2
BEA,haas,8.6,7.5,driver,0.686,0.36,10
BOR,sauber,3.4,4.9,driver,0.429,-0.2,-1
OCO,haas,9.4,8.9,driver,1.0,0.25,4
LAW,racing_bulls,-1.8,4.5,driver,1.0,0.04,1
RED,red_bull,28.8,28.0,constructor,0.0,0.18,23
MCL,mclaren,80.2,33.6,constructor,0.0,0.3,62
FER,ferrari,59.4,29.7,constructor,0.0,0.3,36
MER,mercedes,29.2,25.3,constructor,0.0,0.15,26
AST,aston_martin,17,10.1,constructor,0.0,0.58,0
RB,racing_bulls,12.2,12.4,constructor,0.0,-0.28,3
HAA,haas,23,11.4,constructor,0.0,0.56,14
ALP,alpine,10.6,9.5,constructor,0.0,0.2,3
KCK,sauber,28.8,8.1,constructor,0.0,0.58,-5
WIL,williams,-1.6,15.5,constructor,0.0,-0.59,-6
