team_comps,price,score,max_score,projected_gain,pred_score,weight,ensemble_score,centered_pred,centered_score,centered_gain,avg_value,pred_avg_value,team_diffs
"frozenset({'PIA', 'HUL', 'MCL', 'ALO', 'STR', 'KCK', 'BEA'})",98.19999999999999,213.4258,33.4,2.6999999999999997,98.0,0.887,155.7129,1.423575889072294,2.3053976134595633,2.8224174044254795,2.615609488039113,2.2628807982842054,2
"frozenset({'PIA', 'HAM', 'HUL', 'MCL', 'ALO', 'KCK', 'BEA'})",113.1,228.6258,33.4,2.48,109.0,0.887,168.8129,1.6338059920861796,2.568357933209602,2.572511598990101,2.5708501326779016,2.1970293562285326,2
"frozenset({'PIA', 'HUL', 'MCL', 'ALO', 'KCK', 'BEA', 'OCO'})",98.6,219.22580000000002,33.4,2.56,100.0,0.887,159.61290000000002,1.4617995441657279,2.4057377354694465,2.663386437330239,2.5603269565859224,2.1827516800644347,2
"frozenset({'PIA', 'HAM', 'HUL', 'MCL', 'ALO', 'STR', 'KCK'})",114.1,223.6258,33.4,2.5100000000000002,101.0,0.887,162.3129,1.4809113717124447,2.481857828028668,2.606589663367653,2.556696929232059,2.1563183467055698,2
"frozenset({'PIA', 'AST', 'HUL', 'RUS', 'ALO', 'MCL', 'BEA'})",114.1,218.2258,33.4,2.31,117.0,0.887,167.6129,1.7867006124599147,2.3884377144332594,2.3794025675173085,2.383016626283689,2.1423217854943513,2
"frozenset({'PIA', 'HUL', 'MCL', 'ALO', 'STR', 'KCK', 'OCO'})",99.6,214.22580000000002,33.4,2.59,92.0,0.887,153.11290000000002,1.3089049237919927,2.3192376302885127,2.6974645017077905,2.546173753140079,2.1420406705414714,2
"frozenset({'PIA', 'HUL', 'MCL', 'RUS', 'ALO', 'KCK', 'BEA'})",112.1,230.0258,33.4,2.31,112.0,0.887,171.0129,1.6911414747263303,2.5925779626602634,2.3794025675173085,2.4646727255744905,2.104098130400917,1
"frozenset({'PIA', 'HUL', 'MCL', 'ALO', 'LEC', 'KCK', 'BEA'})",113.80000000000001,231.4258,33.4,2.21,119.0,0.887,175.2129,1.8249242675533486,2.616797992110925,2.2658090195921363,2.406204608599652,2.089455118776621,2
"frozenset({'PIA', 'HUL', 'MCL', 'RUS', 'GAS', 'KCK', 'BEA'})",112.4,225.4258,33.4,2.25,114.0,0.887,169.7129,1.729365129819764,2.512997865893804,2.311246438762205,2.3919470096148445,2.078493915185229,2
"frozenset({'PIA', 'HUL', 'MCL', 'ALO', 'GAS', 'KCK', 'BEA'})",96.3,212.4258,33.4,2.4499999999999997,96.0,0.887,154.2129,1.3853522339788604,2.288097592423376,2.5384335346125493,2.43829915773688,2.0772010143590736,2
"frozenset({'PIA', 'HUL', 'MCL', 'RUS', 'ALO', 'STR', 'KCK'})",113.1,225.0258,33.4,2.34,104.0,0.887,164.5129,1.5382468543525953,2.5060778574793297,2.41348063189486,2.4505195221286478,2.063387120877954,1
"frozenset({'PIA', 'HUL', 'MCL', 'RUS', 'GAS', 'STR', 'KCK'})",113.4,220.4258,33.4,2.28,106.0,0.887,163.2129,1.5764705094460292,2.4264977607128704,2.3453245031397563,2.377793806169002,2.0377829056622656,2
"frozenset({'PIA', 'HUL', 'MCL', 'ALO', 'GAS', 'STR', 'KCK'})",97.3,207.4258,33.4,2.48,88.0,0.887,147.7129,1.2324576136051253,2.2015974872424424,2.572511598990101,2.4241459542910375,2.0364900048361108,2
"frozenset({'PIA', 'HUL', 'MCL', 'RUS', 'LAW', 'KCK', 'BEA'})",110.29999999999998,221.0258,33.4,2.15,115.0,0.887,168.0129,1.748476957366481,2.4368777733345826,2.1976528908370327,2.2933428438360526,2.0179825174488117,2
"frozenset({'PIA', 'HUL', 'MCL', 'ALO', 'LAW', 'KCK', 'BEA'})",94.19999999999999,208.02580000000003,33.4,2.35,97.0,0.887,152.5129,1.4044640615255772,2.211977499864155,2.4248399866873775,2.3396949919580887,2.0166896166226573,2
"frozenset({'PIA', 'MCL', 'RUS', 'ALO', 'STR', 'KCK', 'BEA'})",112.19999999999999,211.6258,33.4,2.1,118.0,0.887,164.8129,1.8058124400066315,2.2742575755944268,2.140856116874447,2.1942167003624387,2.0068386461273207,2
"frozenset({'PIA', 'HUL', 'MCL', 'STR', 'KCK', 'BEA', 'BOR'})",96.79999999999998,209.6258,33.4,2.3000000000000003,99.0,0.887,154.3129,1.4426877166190109,2.2396575335220534,2.3680432127247912,2.3166889410436964,1.997901014282479,2
"frozenset({'PIA', 'HUL', 'MCL', 'RUS', 'ALO', 'KCK', 'OCO'})",113.5,230.82580000000002,33.4,2.2,106.0,0.887,168.4129,1.5764705094460292,2.606417979489213,2.254449664799619,2.3952369906754565,1.9832580026581832,1
"frozenset({'PIA', 'HUL', 'MCL', 'RUS', 'LAW', 'STR', 'KCK'})",111.30000000000001,216.0258,33.4,2.18,107.0,0.887,161.5129,1.595582336992746,2.350377668153649,2.2317309552145845,2.2791896403902103,1.977271507925849,2
"frozenset({'PIA', 'HUL', 'MCL', 'ALO', 'LAW', 'STR', 'KCK'})",95.19999999999999,203.02580000000003,33.4,2.38,89.0,0.887,146.0129,1.251569441151842,2.1254773946832213,2.458918051064929,2.325541788512246,1.975978607099694,2
"frozenset({'PIA', 'HUL', 'RUS', 'MCL', 'BEA', 'BOR', 'HAA'})",114.0,220.4258,33.4,1.8900000000000001,132.0,0.887,176.2129,2.0733780256606678,2.4264977607128704,1.9023096662315853,2.111984904024099,1.9707370100032184,2
"frozenset({'PIA', 'HAM', 'HUL', 'MCL', 'ALO', 'GAS', 'KCK'})",112.19999999999999,222.6258,33.4,2.2600000000000002,99.0,0.887,160.8129,1.4426877166190109,2.464557806992481,2.3226057935547226,2.379386598929826,1.970638562780438,2
