[DRIVER]: RUS [PRED]: [[4.15285714]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
prev_construct_position            -0.870388      -3.277779
driverId_847.0-num_med_corners      4.358899      -1.657453
driverId_861.0-strt_len_min        -0.229416      -0.447821
prev_driver_wins                    0.273434      -0.387381
driverId_830.0-strt_len_min        -0.229416      -0.209303
driverId_861.0-num_fast_corners    -0.229416      -0.195844
driverId_846.0-num_slow_corners    -0.229416      -0.107877
driverId_1.0-num_fast_corners      -0.229416      -0.075873
driverId_846.0-num_fast_corners    -0.229416      -0.056869
driverId_846.0-strt_len_min        -0.229416      -0.038784
driverId_844.0-num_slow_corners    -0.229416      -0.021964
driverId_844.0-num_med_corners     -0.229416      -0.018010
driverId_861.0-num_med_corners     -0.229416      -0.014704
driverId_830.0-num_fast_corners    -0.229416      -0.006483
driverId_852.0-strt_len_min        -0.229416      -0.004780
driverId_832.0-strt_len_median     -0.229416      -0.004636
driverId_859.0-num_med_corners     -0.229416      -0.004188
driverId_832.0-strt_len_min        -0.229416      -0.004184
driverId_859.0-num_fast_corners    -0.229416      -0.002055
driverId_830.0-num_med_corners     -0.229416       0.000887
driverId_840.0-strt_len_min        -0.229416       0.002510
driverId_848.0-strt_len_min        -0.229416       0.003495
driverId_864.0-num_slow_corners    -0.229416       0.005409
driverId_1.0-strt_len_min          -0.229416       0.010411
driverId_4.0-num_slow_corners      -0.229416       0.013108
driverId_857.0-num_fast_corners    -0.229416       0.024876
driverId_844.0-strt_len_median     -0.229416       0.199878

[DRIVER]: VER [PRED]: [[4.52]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
prev_driver_wins                    0.957020      -1.847886
driverId_830.0-num_med_corners      4.358899      -1.339030
driverId_830.0-strt_len_min         4.358899      -1.151394
driverId_830.0-num_fast_corners     4.358899      -0.905177
prev_construct_position            -0.522233      -0.709229
driverId_861.0-strt_len_min        -0.229416      -0.219948
driverId_861.0-num_fast_corners    -0.229416      -0.099951
driverId_846.0-strt_len_min        -0.229416      -0.028632
driverId_859.0-num_fast_corners    -0.229416      -0.021609
driverId_860.0-num_slow_corners    -0.229416      -0.016699
driverId_852.0-strt_len_min        -0.229416      -0.014459
driverId_859.0-num_med_corners     -0.229416      -0.011703
driverId_832.0-strt_len_median     -0.229416      -0.011599
driverId_832.0-strt_len_min        -0.229416      -0.007597
driverId_848.0-num_med_corners     -0.229416      -0.005638
driverId_842.0-num_slow_corners    -0.229416      -0.005382
driverId_852.0-num_slow_corners    -0.229416      -0.003825
driverId_1.0-num_fast_corners      -0.229416      -0.002455
driverId_832.0-num_fast_corners    -0.229416      -0.002045
driverId_846.0-num_fast_corners    -0.229416      -0.002040
driverId_860.0-num_fast_corners    -0.229416      -0.000658
driverId_4.0-num_fast_corners      -0.229416      -0.000042
driverId_848.0-strt_len_min        -0.229416       0.000441
driverId_842.0-num_fast_corners    -0.229416       0.003310
driverId_844.0-num_med_corners     -0.229416       0.003886
driverId_864.0-num_slow_corners    -0.229416       0.005385
driverId_840.0-strt_len_min        -0.229416       0.007635
driverId_844.0-num_slow_corners    -0.229416       0.009952
driverId_861.0-num_med_corners     -0.229416       0.010933
driverId_857.0-num_fast_corners    -0.229416       0.013137
driverId_848.0-num_fast_corners    -0.229416       0.013798
driverId_846.0-num_slow_corners    -0.229416       0.018442
driverId_807.0-num_fast_corners    -0.229416       0.021791
driverId_4.0-num_slow_corners      -0.229416       0.042588
driverId_1.0-strt_len_min          -0.229416       0.043678
driverId_844.0-strt_len_median     -0.229416       0.121329
driverId_847.0-num_med_corners     -0.229416       0.182419

[DRIVER]: ANT [PRED]: [[15.55]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
prev_construct_position            -0.870388      -3.210153
driverId_859.0-num_fast_corners    -0.229416      -0.038669
driverId_832.0-strt_len_min        -0.229416      -0.026690
driverId_846.0-num_slow_corners    -0.229416      -0.023874
driverId_830.0-strt_len_min        -0.229416      -0.023162
driverId_832.0-strt_len_median     -0.229416      -0.022891
driverId_846.0-num_fast_corners    -0.229416      -0.016517
driverId_860.0-num_slow_corners    -0.229416      -0.015629
driverId_852.0-strt_len_min        -0.229416      -0.010346
driverId_842.0-num_slow_corners    -0.229416      -0.009963
driverId_859.0-num_med_corners     -0.229416      -0.007994
