[DRIVER]: NOR [PRED]: [[1.73]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
prev_driver_points_prop             2.260182      -7.084220
prev_construct_points_prop          2.557400      -0.581351
driverId_846.0-strt_len_min         4.358899      -0.446338
driverId_847.0-num_slow_corners    -0.229416      -0.192655
driverId_1.0-num_med_corners       -0.229416      -0.117355
driverId_844.0-strt_len_min        -0.229416      -0.079244
driverId_830.0-num_fast_corners    -0.229416      -0.020967
driverId_1.0-strt_len_min          -0.229416      -0.007584
driverId_861.0-num_med_corners     -0.229416      -0.001892
driverId_844.0-num_slow_corners    -0.229416       0.035710

[DRIVER]: PIA [PRED]: [[2.02]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
prev_driver_points_prop             2.296719      -7.210559
prev_construct_points_prop          2.557400      -0.658694
driverId_847.0-num_slow_corners    -0.229416      -0.193532
driverId_1.0-num_med_corners       -0.229416      -0.117355
driverId_844.0-strt_len_min        -0.229416      -0.072876
driverId_830.0-num_fast_corners    -0.229416      -0.014734
driverId_1.0-strt_len_min          -0.229416      -0.007584
driverId_861.0-num_med_corners     -0.229416      -0.001892
driverId_846.0-strt_len_min        -0.229416       0.019234
driverId_844.0-num_slow_corners    -0.229416       0.052098

[DRIVER]: LEC [PRED]: [[3.1]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
prev_driver_points_prop             0.823050      -6.858879
prev_construct_points_prop          0.640690      -0.566698
driverId_847.0-num_slow_corners    -0.229416      -0.160407
driverId_1.0-num_med_corners       -0.229416      -0.132221
driverId_1.0-strt_len_min          -0.229416      -0.006671
driverId_830.0-num_fast_corners    -0.229416      -0.004912
driverId_861.0-num_med_corners     -0.229416      -0.001892
driverId_846.0-strt_len_min        -0.229416       0.030113
driverId_844.0-num_slow_corners     4.358899       0.225198
driverId_844.0-strt_len_min         4.358899       0.350474

[DRIVER]: HAM [PRED]: [[11.02]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_1.0-strt_len_min           4.358899      -0.145755
driverId_848.0-num_slow_corners    -0.229416      -0.096994
driverId_861.0-num_med_corners     -0.229416      -0.093839
driverId_807.0-corner_spd_min      -0.229416      -0.082554
driverId_852.0-num_slow_corners    -0.229416      -0.065550
driverId_807.0-num_slow_corners    -0.229416      -0.049241
driverId_1.0-num_med_corners        4.358899      -0.043040
driverId_852.0-strt_len_min        -0.229416      -0.039219
driverId_839.0-strt_len_min        -0.229416      -0.035306
driverId_807.0-strt_len_min        -0.229416      -0.032641
driverId_832.0-strt_len_median     -0.229416      -0.030021
driverId_860.0-num_fast_corners    -0.229416      -0.026336
driverId_840.0-strt_len_min        -0.229416      -0.024300
driverId_839.0-num_slow_corners    -0.229416      -0.021997
driverId_832.0-strt_len_min        -0.229416      -0.021264
driverId_842.0-num_slow_corners    -0.229416      -0.017647
driverId_847.0-num_slow_corners    -0.229416      -0.015038
driverId_860.0-strt_len_min        -0.229416      -0.013669
driverId_840.0-num_fast_corners    -0.229416      -0.007951
driverId_862.0-num_fast_corners    -0.229416      -0.007135
driverId_4.0-num_fast_corners      -0.229416      -0.005672
driverId_864.0-strt_len_min        -0.229416       0.002040
driverId_842.0-num_fast_corners    -0.229416       0.003019
driverId_842.0-strt_len_min        -0.229416       0.003705
driverId_864.0-num_fast_corners    -0.229416       0.005847
driverId_846.0-strt_len_min        -0.229416       0.006000
driverId_830.0-num_fast_corners    -0.229416       0.011545
driverId_852.0-num_fast_corners    -0.229416       0.012333
driverId_844.0-strt_len_min        -0.229416       0.014237
driverId_864.0-num_slow_corners    -0.229416       0.021199
driverId_844.0-num_slow_corners    -0.229416       0.034371
driverId_862.0-strt_len_min        -0.229416       0.042937
prev_construct_points_prop          0.640690       0.049253
driverId_840.0-num_slow_corners    -0.229416       0.066595
driverId_848.0-num_fast_corners    -0.229416       0.103322
driverId_4.0-num_slow_corners      -0.229416       0.112483
prev_driver_points_prop             0.250633       1.180389

[DRIVER]: RUS [PRED]: [[4.8]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
prev_driver_points_prop             1.066632      -6.145146
driverId_1.0-num_med_corners       -0.229416      -0.134397
driverId_861.0-num_med_corners     -0.229416      -0.001892
driverId_844.0-strt_len_min        -0.229416       0.004713
driverId_846.0-strt_len_min        -0.229416       0.011731
driverId_844.0-num_slow_corners    -0.229416       0.031337
prev_construct_points_prop          0.540164       0.095503
driverId_830.0-num_fast_corners    -0.229416       0.156309
driverId_847.0-num_slow_corners     4.358899       0.555946

[DRIVER]: LAW [PRED]: [[12.01]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
prev_construct_points_prop         -0.672859      -0.382821
driverId_862.0-strt_len_min         4.358899      -0.327131
driverId_807.0-corner_spd_min      -0.229416      -0.144724
driverId_848.0-num_slow_corners    -0.229416      -0.142889
driverId_852.0-num_slow_corners    -0.229416      -0.106114
driverId_832.0-strt_len_median     -0.229416      -0.098567
driverId_807.0-num_slow_corners    -0.229416      -0.088843
driverId_840.0-strt_len_min        -0.229416      -0.087905
driverId_807.0-strt_len_min        -0.229416      -0.076782
driverId_832.0-strt_len_min        -0.229416      -0.067656
driverId_861.0-num_med_corners     -0.229416      -0.056930
driverId_839.0-strt_len_min        -0.229416      -0.052334
driverId_852.0-strt_len_min        -0.229416      -0.049840
driverId_860.0-strt_len_min        -0.229416      -0.045322
driverId_4.0-num_fast_corners      -0.229416      -0.040895
driverId_860.0-num_fast_corners    -0.229416      -0.038976
driverId_839.0-num_slow_corners    -0.229416      -0.036384
driverId_840.0-num_fast_corners    -0.229416      -0.016770
driverId_852.0-num_fast_corners    -0.229416      -0.013242
driverId_842.0-num_slow_corners    -0.229416      -0.010408
driverId_1.0-num_med_corners       -0.229416      -0.002157
driverId_864.0-num_fast_corners    -0.229416       0.001712
driverId_862.0-num_fast_corners     4.358899       0.001741
driverId_864.0-strt_len_min        -0.229416       0.004798
driverId_842.0-strt_len_min        -0.229416       0.006395
driverId_842.0-num_fast_corners    -0.229416       0.037239
driverId_864.0-num_slow_corners    -0.229416       0.055473
driverId_1.0-strt_len_min          -0.229416       0.067965
driverId_840.0-num_slow_corners    -0.229416       0.082843
driverId_848.0-num_fast_corners    -0.229416       0.113075
driverId_4.0-num_slow_corners      -0.229416       0.147555
prev_driver_points_prop            -0.662799       3.152001

[DRIVER]: ALO [PRED]: [[12.14]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_4.0-num_slow_corners       4.358899      -0.897271
