asset,constructor,score,price,type,weight,projected_gain,pred_score
VER,red_bull,31.0,28.8,driver,1.0,0.1,27
NOR,mclaren,39.0,30.4,driver,1.0,0.3,23
LEC,ferrari,21.7,24.3,driver,1.0,-0.3,16
HAM,ferrari,21.0,23.6,driver,0.873,0.0,13
PIA,mclaren,32.4,24.0,driver,0.887,0.3,35
SAI,williams,8.0,9.5,driver,1.0,-0.6,2
RUS,mercedes,25.0,22.2,driver,1.0,0.1,19
ALO,aston_martin,16.0,5.6,driver,1.0,-0.6,1
DOO,alpine,5.0,4.5,driver,0.333,0.0,-3
STR,aston_martin,3.33,9.7,driver,0.342,0.2,1
TSU,red_bull,11.0,15.2,driver,1.0,-0.6,0
GAS,alpine,4.66,8.2,driver,1.0,-0.6,-4
HUL,sauber,2.0,6.0,driver,0.55,0.0,0
ALB,williams,12.2,12.8,driver,0.643,0.2,7
ANT,mercedes,17.3,19.5,driver,0.3,-0.1,10
HAD,racing_bulls,8.0,5.5,driver,0.5,0.0,5
BEA,haas,10.6,8.7,driver,0.686,-0.6,5
BOR,sauber,3.0,4.5,driver,0.429,0.0,-1
OCO,haas,10.8,9.3,driver,1.0,-0.6,2
LAW,racing_bulls,8.0,6.0,driver,1.0,-0.6,-2
RED,red_bull,39.8,26.6,constructor,0.0,0.3,27
MCL,mclaren,84.2,31.8,constructor,0.0,0.3,58
FER,ferrari,64.3,27.9,constructor,0.0,0.3,29
MER,mercedes,59.6,24.5,constructor,0.0,0.3,29
AST,aston_martin,8.6,8.9,constructor,0.0,0.2,2
RB,racing_bulls,24.0,10.0,constructor,0.0,-0.6,3
HAA,haas,24.6,10.6,constructor,0.0,0.0,7
ALP,alpine,4.75,8.3,constructor,0.0,-0.6,-7
KCK,sauber,7.33,4.5,constructor,0.0,0.6,-1
WIL,williams,19.0,15.9,constructor,0.0,0.6,9
