Feature,Coefficient
prev_driver_position,0.38269428993012405
prev_driver_wins,0.10307032442594297
prev_construct_position,0.13521198089480693
prev_construct_wins,0.0
driverId_830.0-avg_track_spd,-0.0
driverId_846.0-avg_track_spd,-0.0
driverId_857.0-avg_track_spd,-0.0
driverId_844.0-avg_track_spd,0.0
driverId_847.0-avg_track_spd,-0.20082796740569017
driverId_862.0-avg_track_spd,-0.0
driverId_1.0-avg_track_spd,0.0
driverId_865.0-avg_track_spd,-0.0
driverId_848.0-avg_track_spd,0.0
driverId_859.0-avg_track_spd,0.0
driverId_4.0-avg_track_spd,-0.0
driverId_852.0-avg_track_spd,0.0
driverId_842.0-avg_track_spd,-0.0
driverId_832.0-avg_track_spd,-0.0
driverId_864.0-avg_track_spd,0.0
driverId_807.0-avg_track_spd,0.31367631519841854
driverId_861.0-avg_track_spd,0.0
driverId_839.0-avg_track_spd,0.0
driverId_863.0-avg_track_spd,0.0
driverId_840.0-avg_track_spd,0.0
driverId_855.0-avg_track_spd,-0.0
driverId_825.0-avg_track_spd,-0.0
driverId_822.0-avg_track_spd,-0.0
driverId_815.0-avg_track_spd,1.1143402477907252
driverId_860.0-avg_track_spd,-0.0
driverId_830.0-num_slow_corners,-0.0
driverId_846.0-num_slow_corners,-0.36323746113157546
driverId_857.0-num_slow_corners,-0.5055873946929299
driverId_844.0-num_slow_corners,1.1754743176850977
driverId_847.0-num_slow_corners,-0.12434535708990341
driverId_862.0-num_slow_corners,-0.0
driverId_1.0-num_slow_corners,0.961662288018752
driverId_865.0-num_slow_corners,-0.0
driverId_848.0-num_slow_corners,-0.08672500814086273
driverId_859.0-num_slow_corners,-0.2807242423424667
driverId_4.0-num_slow_corners,0.7555400580341424
driverId_852.0-num_slow_corners,0.423565264183492
driverId_842.0-num_slow_corners,1.050394315897172
driverId_832.0-num_slow_corners,-0.0322738298618259
driverId_864.0-num_slow_corners,0.012753577268015986
driverId_807.0-num_slow_corners,0.2477392277403509
driverId_861.0-num_slow_corners,0.07530788004423358
driverId_839.0-num_slow_corners,-0.9934227255436787
driverId_863.0-num_slow_corners,0.10046218653780713
driverId_840.0-num_slow_corners,-0.25173731793453075
driverId_855.0-num_slow_corners,0.009837997774056608
driverId_825.0-num_slow_corners,0.3362347389342986
driverId_822.0-num_slow_corners,0.5016904629426499
driverId_815.0-num_slow_corners,0.41481560289169866
driverId_860.0-num_slow_corners,0.0
driverId_830.0-num_fast_corners,-0.8523726934435084
driverId_846.0-num_fast_corners,-0.0
driverId_857.0-num_fast_corners,0.0
driverId_844.0-num_fast_corners,-1.5658713448976558
driverId_847.0-num_fast_corners,-0.0
driverId_862.0-num_fast_corners,-0.008068773605776965
driverId_1.0-num_fast_corners,-0.8826773958357097
driverId_865.0-num_fast_corners,-0.3574924704928257
driverId_848.0-num_fast_corners,0.10554499560977892
driverId_859.0-num_fast_corners,0.10238947504828119
driverId_4.0-num_fast_corners,-0.4219498007355836
driverId_852.0-num_fast_corners,-0.010692445281350979
driverId_842.0-num_fast_corners,-0.5588450345513224
driverId_832.0-num_fast_corners,0.3621921821041858
driverId_864.0-num_fast_corners,0.45287531753679905
driverId_807.0-num_fast_corners,0.39813786807583673
driverId_861.0-num_fast_corners,1.1391126850934534
driverId_839.0-num_fast_corners,1.7776622147139656
driverId_863.0-num_fast_corners,0.9089959767586461
driverId_840.0-num_fast_corners,1.6424836952664676
driverId_855.0-num_fast_corners,-0.06305430775349394
driverId_825.0-num_fast_corners,-0.0
driverId_822.0-num_fast_corners,-0.0
driverId_815.0-num_fast_corners,0.0
driverId_860.0-num_fast_corners,0.0
prev_construct_points_prop,-1.2352156877302598
prev_driver_points_prop,-0.6022557429574353
driverId_830.0,-0.0
driverId_846.0,-0.0
driverId_857.0,-0.0
driverId_844.0,0.0
driverId_847.0,-0.0
driverId_862.0,-0.0
driverId_1.0,0.0
driverId_865.0,-0.0
driverId_848.0,0.0
driverId_859.0,-0.0
driverId_4.0,-0.0
driverId_852.0,0.0
driverId_842.0,-0.0
driverId_832.0,-0.0
driverId_864.0,0.0
driverId_807.0,0.0
driverId_861.0,0.0
driverId_839.0,0.0
driverId_863.0,0.0
driverId_840.0,-0.0
driverId_855.0,-0.0
driverId_825.0,-0.0
driverId_822.0,-0.0
driverId_815.0,0.0
driverId_860.0,0.0
constructorId_9.0,-0.0
constructorId_1.0,-0.0
constructorId_6.0,-0.0
constructorId_131.0,-0.0
constructorId_214.0,0.0
constructorId_3.0,0.0
constructorId_210.0,-0.0
constructorId_117.0,-0.0
constructorId_15.0,0.0
