asset,constructor,score,price,type,weight,projected_gain,pred_score
VER,red_bull,31.0,28.9,driver,1.0,0.1,27
NOR,mclaren,39.0,30.1,driver,1.0,0.1,19
LEC,ferrari,21.7,24.6,driver,1.0,0.1,16
HAM,ferrari,21.0,23.3,driver,0.873,0.0,10
PIA,mclaren,32.4,23.7,driver,0.887,0.3,35
SAI,williams,8.0,10.1,driver,1.0,-0.6,-1
RUS,mercedes,25.0,22.1,driver,1.0,0.1,23
ALO,aston_martin,16.0,6.2,driver,1.0,-0.6,-1
DOO,alpine,5.0,5.0,driver,0.333,-0.5,-2
STR,aston_martin,3.33,9.1,driver,0.342,-0.6,1
TSU,red_bull,11.0,15.8,driver,1.0,-0.6,-2
GAS,alpine,4.66,8.8,driver,1.0,-0.6,-6
HUL,sauber,2.0,6.6,driver,0.55,-0.6,-1
ALB,williams,12.2,12.6,driver,0.643,0.0,4
ANT,mercedes,17.3,19.6,driver,0.3,0.0,13
HAD,racing_bulls,8.0,5.7,driver,0.5,0.2,1
BEA,haas,10.6,8.5,driver,0.686,0.6,13
BOR,sauber,3.0,4.5,driver,0.429,0.0,0
OCO,haas,10.8,9.1,driver,1.0,0.2,7
LAW,racing_bulls,8.0,6.6,driver,1.0,0.0,0
RED,red_bull,39.8,26.3,constructor,0.0,0.3,25
MCL,mclaren,84.2,31.5,constructor,0.0,0.3,54
FER,ferrari,64.3,27.6,constructor,0.0,0.3,26
MER,mercedes,59.6,24.2,constructor,0.0,0.3,36
AST,aston_martin,8.6,8.3,constructor,0.0,0.2,0
RB,racing_bulls,24.0,9.8,constructor,0.0,0.6,1
HAA,haas,24.6,10.0,constructor,0.0,0.6,20
ALP,alpine,4.75,8.1,constructor,0.0,-0.2,-8
KCK,sauber,7.33,4.8,constructor,0.0,-0.6,-1
WIL,williams,19.0,15.3,constructor,0.0,0.2,3
