team_comps,price,score,max_score,projected_gain,pred_score,weight,ensemble_score,centered_pred,centered_score,centered_gain,avg_value,pred_avg_value,team_diffs
"frozenset({'HAD', 'HAA', 'BEA', 'MCL', 'PIA', 'ALB', 'OCO'})",101.1,211.53879999999998,32.4,2.2,134.0,0.887,172.7694,3.688363948523791,2.526866887842621,3.048136604845203,2.6832478029433955,3.4962957454202144,1
"frozenset({'BOR', 'HAA', 'RUS', 'BEA', 'PIA', 'OCO', 'MER'})",102.1,194.7388,32.4,2.1,134.0,0.887,164.36939999999998,3.688363948523791,1.9709506575974178,2.9334966912308267,2.2597144676874406,3.4619037713359013,3
"frozenset({'BOR', 'HAA', 'BEA', 'MCL', 'PIA', 'ALB', 'OCO'})",99.9,206.53879999999998,32.4,2.0,133.0,0.887,169.7694,3.645511310212834,2.361415628841072,2.8188567776164515,2.4986479734736857,3.397514950433919,2
"frozenset({'HAA', 'LAW', 'BEA', 'MCL', 'PIA', 'ALB', 'OCO'})",102.0,211.53879999999998,32.4,2.0,133.0,0.887,172.2694,3.645511310212834,2.526866887842621,2.8188567776164515,2.61446385477477,3.397514950433919,2
"frozenset({'BOR', 'HAD', 'HAA', 'BEA', 'MCL', 'PIA', 'OCO'})",93.0,202.3388,32.4,2.2,130.0,0.887,166.1694,3.5169533952799625,2.2224365712797716,3.048136604845203,2.470146581349401,3.376308358149535,1
"frozenset({'HAD', 'HAA', 'LAW', 'BEA', 'MCL', 'PIA', 'OCO'})",95.1,207.3388,32.4,2.2,130.0,0.887,168.6694,3.5169533952799625,2.3878878302813207,3.048136604845203,2.5859624626504853,3.376308358149535,1
"frozenset({'BOR', 'HAD', 'HAA', 'RUS', 'BEA', 'PIA', 'MER'})",98.7,191.9388,32.4,2.1,128.0,0.887,159.9694,3.431248118658049,1.8782979525565502,2.9334966912308267,2.194857574158833,3.281922690429882,3
"frozenset({'HAD', 'HAA', 'RUS', 'LAW', 'BEA', 'PIA', 'MER'})",100.8,196.9388,32.4,2.1,128.0,0.887,162.4694,3.431248118658049,2.043749211558099,2.9334966912308267,2.3106734554599173,3.281922690429882,3
"frozenset({'BOR', 'HAA', 'LAW', 'BEA', 'MCL', 'PIA', 'OCO'})",93.9,202.3388,32.4,2.0,129.0,0.887,165.6694,3.4741007569690057,2.2224365712797716,2.8188567776164515,2.4013626331807756,3.2775275631632392,2
"frozenset({'HAA', 'RUS', 'BEA', 'DOO', 'PIA', 'OCO', 'MER'})",102.6,196.7388,32.4,1.6,132.0,0.887,164.36939999999998,3.6026586719018767,2.037131161198037,2.3602971231589476,2.13408094978631,3.229950207278998,2
"frozenset({'HAD', 'HAA', 'BEA', 'PIA', 'ANT', 'OCO', 'MER'})",100.8,192.03879999999998,32.4,2.2,125.0,0.887,158.5194,3.3026902037251773,1.881606977736581,3.048136604845203,2.2315658658691673,3.226324124061185,2
"frozenset({'BOR', 'HAD', 'HAA', 'BEA', 'PIA', 'ALB', 'MCL'})",96.5,203.73879999999997,32.4,2.0,127.0,0.887,165.36939999999998,3.3883954803470915,2.2687629238002045,2.8188567776164515,2.4337910799450784,3.2175338695278994,2
"frozenset({'HAD', 'HAA', 'LAW', 'BEA', 'PIA', 'ALB', 'MCL'})",98.6,208.73879999999997,32.4,2.0,127.0,0.887,167.86939999999998,3.3883954803470915,2.434214182801753,2.8188567776164515,2.5496069612461625,3.2175338695278994,2
"frozenset({'HAD', 'HAA', 'BEA', 'MCL', 'PIA', 'STR', 'OCO'})",97.6,202.66879999999998,32.4,1.6,131.0,0.887,166.8344,3.55980603359092,2.2333563543738735,2.3602971231589476,2.2714385850093954,3.199953360461328,1
"frozenset({'HAA', 'BEA', 'MCL', 'DOO', 'PIA', 'ALB', 'OCO'})",100.4,208.53879999999998,32.4,1.5,131.0,0.887,169.7694,3.55980603359092,2.4275961324416917,2.245657209544572,2.3730144555725556,3.165561386377015,1
"frozenset({'ALO', 'HAA', 'BEA', 'MCL', 'PIA', 'ALB', 'OCO'})",101.6,219.53879999999998,32.4,1.4,132.0,0.887,175.7694,3.6026586719018767,2.791588902245099,2.1310172959301963,2.5934174203506277,3.1611662591103724,2
"frozenset({'HAA', 'BEA', 'MCL', 'PIA', 'ALB', 'OCO', 'HUL'})",102.0,205.53879999999998,32.4,1.4,132.0,0.887,168.7694,3.6026586719018767,2.3283253770407626,2.1310172959301963,2.2691329527075927,3.1611662591103724,2
"frozenset({'BOR', 'HAA', 'BEA', 'DOO', 'PIA', 'ANT', 'MCL'})",102.8,205.8388,32.4,1.2999999999999998,133.0,0.887,169.4194,3.645511310212834,2.3382524525808557,2.01637738231582,2.241689931501345,3.1567711318437297,2
"frozenset({'HAD', 'HAA', 'BEA', 'MCL', 'DOO', 'PIA', 'OCO'})",93.5,204.3388,32.4,1.7000000000000002,128.0,0.887,166.1694,3.431248118658049,2.288617074880391,2.474937036773324,2.3445130634482707,3.144354794092631,0
"frozenset({'HAD', 'ALO', 'HAA', 'BEA', 'MCL', 'PIA', 'OCO'})",94.7,215.3388,32.4,1.6,129.0,0.887,172.1694,3.4741007569690057,2.6526098446837985,2.3602971231589476,2.5649160282263432,3.1399596668259884,1
"frozenset({'HAD', 'HAA', 'BEA', 'MCL', 'PIA', 'OCO', 'HUL'})",95.1,201.3388,32.4,1.6,129.0,0.887,165.1694,3.4741007569690057,2.189346319479462,2.3602971231589476,2.2406315605833074,3.1399596668259884,1
"frozenset({'SAI', 'HAD', 'HAA', 'BEA', 'MCL', 'PIA', 'OCO'})",98.6,207.3388,32.4,1.6,129.0,0.887,168.1694,3.4741007569690057,2.3878878302813207,2.3602971231589476,2.379610618144609,3.1399596668259884,1
"frozenset({'BOR', 'HAA', 'BEA', 'PIA', 'ANT', 'OCO', 'MER'})",99.6,187.0388,32.4,2.0,124.0,0.887,155.51940000000002,3.2598375654142204,1.7161557187350331,2.8188567776164515,2.0469660363994584,3.1275433290748893,3
"frozenset({'HAA', 'LAW', 'BEA', 'PIA', 'ANT', 'OCO', 'MER'})",101.7,192.0388,32.4,2.0,124.0,0.887,158.01940000000002,3.2598375654142204,1.8816069777365818,2.8188567776164515,2.1627819177005425,3.1275433290748893,3
"frozenset({'BOR', 'HAA', 'LAW', 'BEA', 'PIA', 'ALB', 'MCL'})",97.4,203.73879999999997,32.4,1.7999999999999998,126.0,0.887,164.86939999999998,3.3455428420361346,2.2687629238002045,2.5895769503876997,2.365007131776453,3.118753074541604,3
"frozenset({'BOR', 'HAA', 'BEA', 'MCL', 'PIA', 'STR', 'OCO'})",96.4,197.66879999999998,32.4,1.4,130.0,0.887,163.8344,3.5169533952799625,2.067905095372325,2.1310172959301963,2.086838755539686,3.1011725654750326,2
"frozenset({'HAA', 'LAW', 'BEA', 'MCL', 'PIA', 'STR', 'OCO'})",98.5,202.66879999999998,32.4,1.4,130.0,0.887,166.3344,3.5169533952799625,2.2333563543738735,2.1310172959301963,2.2026546368407702,3.1011725654750326,2
"frozenset({'BOR', 'HAD', 'HAA', 'LAW', 'BEA', 'PIA', 'MCL'})",90.5,199.53879999999998,32.4,2.0,123.0,0.887,161.2694,3.216984927103263,2.129783866238904,2.8188567776164515,2.3365057396521682,3.0975464822572194,2
"frozenset({'BOR', 'LEC', 'HAD', 'HAA', 'BEA', 'PIA', 'MER'})",101.2,188.63879999999997,32.4,2.1,121.0,0.887,154.81939999999997,3.131279650481349,1.7691001216155275,2.9334966912308267,2.118419092500117,3.071944762706192,3
