Feature,Coefficient,driverId,driverRef
prev_construct_points_prop,-1.937339045910125,construct,construct
driverId_hadjar_num_fast_corners,-1.523506913654444,859.0,hadjar
driverId_lawson_num_fast_corners,-0.9020987434769736,862.0,lawson
driverId_max_verstappen_strt_len_median,-0.6682777080250366,830.0,max_verstappen
driverId_alonso_num_slow_corners,-0.6049009568179842,4.0,alonso
driverId_antonelli_strt_len_median,-0.5380697532594967,861.0,antonelli
driverId_tsunoda_strt_len_median,-0.5343878619879473,852.0,tsunoda
driverId_leclerc_num_med_corners,-0.5184116505696809,844.0,leclerc
driverId_stroll_num_med_corners,-0.5159780135607827,840.0,stroll
driverId_albon_num_fast_corners,-0.5051967663719603,848.0,albon
driverId_gasly_num_fast_corners,-0.2081815638330046,842.0,gasly
driverId_russell_num_slow_corners,-0.1731938911716347,847.0,russell
driverId_bortoleto_num_med_corners,-0.1355562246490852,864.0,bortoleto
driverId_bearman_num_med_corners,-0.0794976140065934,860.0,bearman
driverId_sainz_strt_len_median,0.0381650083271952,832.0,sainz
driverId_hamilton_num_fast_corners,0.1660453766180437,1.0,hamilton
driverId_bearman_num_fast_corners,0.1922948854155519,860.0,bearman
driverId_ocon_strt_len_min,0.2191965771116246,839.0,ocon
driverId_bortoleto_num_fast_corners,0.3121571954995326,864.0,bortoleto
driverId_gasly_num_slow_corners,0.323510927368999,842.0,gasly
driverId_stroll_strt_len_min,0.3513219764596123,840.0,stroll
driverId_stroll_num_fast_corners,0.4439417273109867,840.0,stroll
driverId_bearman_strt_len_min,0.9242750824357552,860.0,bearman
driverId_antonelli_num_med_corners,0.9764306127738992,861.0,antonelli
driverId_sainz_num_med_corners,1.0394977981984563,832.0,sainz
driverId_antonelli_num_fast_corners,1.0618848376784342,861.0,antonelli
driverId_stroll_strt_len_median,1.0666627203383738,840.0,stroll
driverId_hamilton_num_med_corners,1.1415558692344785,1.0,hamilton
driverId_ocon_num_slow_corners,1.169900465127457,839.0,ocon
driverId_alonso_num_fast_corners,1.2543346705036538,4.0,alonso
driverId_hulkenberg_corner_spd_min,1.3328744035351232,807.0,hulkenberg
driverId_gasly_strt_len_median,1.4095869077798209,842.0,gasly
driverId_lawson_strt_len_median,1.4807710454231762,862.0,lawson
driverId_albon_num_slow_corners,1.544753407842988,848.0,albon
driverId_tsunoda_num_slow_corners,1.6001797188391398,852.0,tsunoda
driverId_hadjar_strt_len_median,1.8483805319339888,859.0,hadjar
