Feature,Coefficient,driverId,driverRef
prev_construct_wins,-1.3642061312121578,construct,construct
driverId_gasly_num_fast_corners,-1.096506782243984,842.0,gasly
driverId_albon_num_fast_corners,-0.923290762614804,848.0,albon
driverId_leclerc_strt_len_median,-0.8911371927434452,844.0,leclerc
driverId_bortoleto_num_med_corners,-0.8317237081911886,864.0,bortoleto
driverId_max_verstappen_num_fast_corners,-0.8106322882731838,830.0,max_verstappen
driverId_hulkenberg_num_fast_corners,-0.7400503091263922,807.0,hulkenberg
driverId_lawson_strt_len_median,-0.7393343039443736,862.0,lawson
driverId_alonso_num_slow_corners,-0.6213520329833377,4.0,alonso
driverId_russell_num_slow_corners,-0.5908853288215202,847.0,russell
driverId_hamilton_num_fast_corners,-0.5716629073174815,1.0,hamilton
driverId_bearman_num_fast_corners,-0.5381321019655031,860.0,bearman
driverId_hamilton_strt_len_min,-0.4714572246008386,1.0,hamilton
driverId_leclerc_num_med_corners,-0.4076705231023537,844.0,leclerc
driverId_stroll_num_slow_corners,-0.3456045083128742,840.0,stroll
driverId_norris_corner_spd_median,-0.220010198601491,846.0,norris
driverId_piastri_strt_len_median,-0.1975387824875223,857.0,piastri
driverId_norris_strt_len_min,-0.1785293779810423,846.0,norris
driverId_norris_corner_spd_min,-0.1109173667375207,846.0,norris
driverId_piastri_num_fast_corners,-0.1083451173506682,857.0,piastri
driverId_russell_strt_len_median,-0.0847817611349174,847.0,russell
driverId_piastri_strt_len_min,-0.0759956879446634,857.0,piastri
driverId_alonso_strt_len_min,-0.07128524111485,4.0,alonso
driverId_antonelli_num_slow_corners,-0.0067994000324533,861.0,antonelli
driverId_ocon_num_fast_corners,0.0022129717414528,839.0,ocon
driverId_hulkenberg_num_slow_corners,0.050147308595,807.0,hulkenberg
driverId_gasly_strt_len_min,0.0939746071013569,842.0,gasly
prev_construct_position,0.1833814931200238,construct,construct
driverId_russell_num_fast_corners,0.2128353124522278,847.0,russell
driverId_ocon_num_med_corners,0.2150088983530655,839.0,ocon
driverId_stroll_strt_len_median,0.3044508852610265,840.0,stroll
driverId_sainz_strt_len_min,0.3266735527598196,832.0,sainz
driverId_stroll_strt_len_min,0.392461509229937,840.0,stroll
driverId_tsunoda_corner_spd_min,0.4081822303105157,852.0,tsunoda
driverId_tsunoda_strt_len_min,0.4227600658303342,852.0,tsunoda
driverId_hamilton_num_slow_corners,0.6552256691382201,1.0,hamilton
driverId_antonelli_num_fast_corners,0.7528638155178696,861.0,antonelli
driverId_hulkenberg_num_med_corners,0.816319396124562,807.0,hulkenberg
driverId_leclerc_num_fast_corners,0.8179167739235611,844.0,leclerc
driverId_albon_num_slow_corners,0.8363624585826996,848.0,albon
driverId_ocon_num_slow_corners,0.8377227433615982,839.0,ocon
driverId_albon_strt_len_min,0.8392202671996175,848.0,albon
driverId_alonso_num_fast_corners,0.8572819042551573,4.0,alonso
driverId_tsunoda_num_slow_corners,0.9233964987342832,852.0,tsunoda
driverId_antonelli_strt_len_min,1.0476190573464317,861.0,antonelli
driverId_lawson_num_fast_corners,1.2196121203739174,862.0,lawson
driverId_bortoleto_num_fast_corners,1.2732864129307528,864.0,bortoleto
driverId_sainz_strt_len_median,1.3286173240622794,832.0,sainz
driverId_max_verstappen_strt_len_min,1.3508349971472824,830.0,max_verstappen
driverId_hadjar_num_fast_corners,1.4444377990202328,859.0,hadjar
driverId_bearman_num_slow_corners,1.6341188002804137,860.0,bearman
driverId_gasly_num_slow_corners,1.6764927950603057,842.0,gasly
