asset,constructor,score,price,type,weight,projected_gain,pred_score
VER,red_bull,16.4,28.1,driver,1.0,0.0,23.0
NOR,mclaren,27.6,31.3,driver,1.0,0.0,35.0
LEC,ferrari,20.2,23.6,driver,1.0,-0.3,10.0
HAM,ferrari,23.0,23.5,driver,0.873,-0.3,7.0
PIA,mclaren,37.2,26.7,driver,0.887,0.3,27.0
SAI,williams,1.0,5.7,driver,1.0,-0.6,-1.0
RUS,mercedes,23.4,22.5,driver,1.0,0.1,16.0
ALO,aston_martin,11.8,8.1,driver,1.0,0.6,2.0
DOO,alpine,-100.0,0.0,driver,0.333,0.0,-100.0
STR,aston_martin,4.4,10.3,driver,0.342,0.6,10.0
TSU,red_bull,5.8,10.6,driver,1.0,-0.6,-4.0
GAS,alpine,3.8,4.8,driver,1.0,-0.6,-4.0
HUL,sauber,23.8,9.8,driver,0.55,0.2,6.0
ALB,williams,-5.4,11.8,driver,0.643,0.6,15.0
ANT,mercedes,2.0,15.7,driver,0.3,-0.6,-3.0
HAD,racing_bulls,-0.8,5.7,driver,0.5,0.6,19.0
BEA,haas,8.4,7.3,driver,0.686,-0.6,0.0
BOR,sauber,4.2,5.1,driver,0.429,0.6,0.0
OCO,haas,8.0,8.7,driver,1.0,0.0,1.0
LAW,racing_bulls,-1.4,5.1,driver,1.0,-0.6,-4.0
COL,alpine,,4.5,driver,,0.0,1.0
RED,red_bull,35.2,28.7,constructor,0.0,0.3,19.0
MCL,mclaren,82.2,34.5,constructor,0.0,0.3,62.0
FER,ferrari,59.2,30.4,constructor,0.0,-0.3,17.0
MER,mercedes,37.4,26.0,constructor,0.0,0.3,13.0
AST,aston_martin,21.8,11.9,constructor,0.0,0.6,12.0
VRB,racing_bulls,9.4,11.8,constructor,0.0,0.6,3.0
HAA,haas,21.0,12.4,constructor,0.0,0.2,1.0
ALP,alpine,10.2,7.7,constructor,0.0,-0.6,-3.0
KCK,sauber,32.2,9.9,constructor,0.0,0.6,6.0
WIL,williams,0.6,16.1,constructor,0.0,0.6,14.0
