Feature,Coefficient,driverId,driverRef
driverId_norris_num_med_corners,-2.597752465876157,846.0,norris
driverId_hadjar_num_slow_corners,-2.4103242094783903,859.0,hadjar
driverId_leclerc_num_med_corners,-2.104238931892823,844.0,leclerc
driverId_hamilton_num_fast_corners,-2.03774984637908,1.0,hamilton
driverId_bearman_num_fast_corners,-1.5186713015381423,860.0,bearman
driverId_gasly_num_fast_corners,-1.442555376122571,842.0,gasly
driverId_alonso_num_slow_corners,-1.3848472314084463,4.0,alonso
driverId_albon_num_fast_corners,-1.3567222211980192,848.0,albon
driverId_hulkenberg_num_fast_corners,-1.2690040755560943,807.0,hulkenberg
driverId_bortoleto_num_med_corners,-1.1586475871112187,864.0,bortoleto
driverId_russell_num_slow_corners,-1.0596403936754712,847.0,russell
driverId_piastri_avg_track_spd,-0.6963873248765264,857.0,piastri
driverId_max_verstappen_num_fast_corners,-0.6568623454528458,830.0,max_verstappen
driverId_piastri_strt_len_median,-0.6531662190743394,857.0,piastri
driverId_hamilton_num_med_corners,-0.5736190588907154,1.0,hamilton
driverId_max_verstappen_strt_len_min,-0.5577837100474933,830.0,max_verstappen
driverId_lawson_strt_len_median,-0.5557578114220256,862.0,lawson
driverId_stroll_num_slow_corners,-0.4582789846942743,840.0,stroll
driverId_lawson_num_med_corners,-0.3466139315522117,862.0,lawson
driverId_norris_num_fast_corners,-0.3144363857521697,846.0,norris
driverId_piastri_corner_spd_min,-0.280005326945427,857.0,piastri
driverId_tsunoda_strt_len_min,-0.1999408331186059,852.0,tsunoda
driverId_piastri_num_slow_corners,-0.1888403512099049,857.0,piastri
driverId_antonelli_num_med_corners,-0.1587517626859067,861.0,antonelli
driverId_ocon_num_fast_corners,-0.0489448561276291,839.0,ocon
driverId_tsunoda_num_fast_corners,-0.038597332512798,852.0,tsunoda
driverId_russell_num_fast_corners,0.0158077097805978,847.0,russell
driverId_stroll_num_med_corners,0.1161510597803194,840.0,stroll
driverId_max_verstappen_num_med_corners,0.1268085745321365,830.0,max_verstappen
driverId_bearman_num_slow_corners,0.1370821680825252,860.0,bearman
driverId_alonso_num_med_corners,0.2342065103576994,4.0,alonso
driverId_albon_num_slow_corners,0.2776371723244904,848.0,albon
driverId_hadjar_num_fast_corners,0.3428650009349067,859.0,hadjar
driverId_gasly_strt_len_min,0.4047266296164085,842.0,gasly
driverId_sainz_strt_len_median,0.4291156811508002,832.0,sainz
driverId_leclerc_num_fast_corners,0.4643271530934675,844.0,leclerc
driverId_sainz_num_med_corners,0.4646843662614108,832.0,sainz
driverId_alonso_strt_len_median,0.4975174179847729,4.0,alonso
driverId_alonso_num_fast_corners,0.5384580634410571,4.0,alonso
driverId_albon_num_med_corners,0.7788495465173544,848.0,albon
driverId_ocon_num_med_corners,0.90195104518519,839.0,ocon
driverId_tsunoda_num_med_corners,1.1035777399079454,852.0,tsunoda
driverId_antonelli_num_fast_corners,1.1234773483151077,861.0,antonelli
driverId_lawson_num_fast_corners,1.292458823879555,862.0,lawson
driverId_hulkenberg_strt_len_median,1.3203473127977818,807.0,hulkenberg
driverId_leclerc_strt_len_min,1.5451732981829602,844.0,leclerc
driverId_bortoleto_num_fast_corners,1.5723219075186403,864.0,bortoleto
driverId_gasly_num_slow_corners,1.6700717196041055,842.0,gasly
driverId_norris_strt_len_min,1.8426852608887625,846.0,norris
driverId_bearman_num_med_corners,1.8879552402287052,860.0,bearman
driverId_hadjar_num_med_corners,2.7289508666120788,859.0,hadjar
driverId_hamilton_strt_len_min,2.730023092202912,1.0,hamilton
