Feature,Coefficient,driverId,driverRef
prev_construct_points_prop,-2.092252020262643,construct,construct
driverId_alonso_num_slow_corners,-1.711020704684229,4.0,alonso
driverId_stroll_num_med_corners,-1.0235461966023611,840.0,stroll
driverId_tsunoda_num_fast_corners,-0.8658539911590308,852.0,tsunoda
driverId_max_verstappen_num_fast_corners,-0.8223680848163689,830.0,max_verstappen
driverId_albon_num_fast_corners,-0.7105878641242254,848.0,albon
driverId_leclerc_num_med_corners,-0.6319878903865737,844.0,leclerc
driverId_bortoleto_num_med_corners,-0.4700023870610073,864.0,bortoleto
driverId_hadjar_strt_len_min,-0.3437205245838622,859.0,hadjar
driverId_bearman_num_med_corners,-0.3413753462836111,860.0,bearman
driverId_russell_num_slow_corners,-0.3270484061258088,847.0,russell
driverId_gasly_num_fast_corners,-0.1940894498034028,842.0,gasly
driverId_piastri_strt_len_min,-0.0761665617020961,857.0,piastri
driverId_leclerc_num_slow_corners,-0.0689371868835258,844.0,leclerc
driverId_ocon_strt_len_min,0.0834027120473068,839.0,ocon
driverId_leclerc_num_fast_corners,0.1146073057818206,844.0,leclerc
driverId_max_verstappen_num_med_corners,0.1838365956587881,830.0,max_verstappen
driverId_lawson_num_fast_corners,0.2263115207542463,862.0,lawson
driverId_hadjar_num_med_corners,0.2372346325533802,859.0,hadjar
driverId_antonelli_strt_len_median,0.3438750641123224,861.0,antonelli
driverId_hulkenberg_num_slow_corners,0.3813665566866059,807.0,hulkenberg
driverId_bearman_num_fast_corners,0.5693102045151363,860.0,bearman
driverId_sainz_num_med_corners,0.7667414292393602,832.0,sainz
driverId_gasly_num_slow_corners,0.972209574373644,842.0,gasly
driverId_bortoleto_num_fast_corners,0.9798876526557424,864.0,bortoleto
driverId_hamilton_num_med_corners,1.017369785504147,1.0,hamilton
driverId_bearman_strt_len_min,1.0626891911988836,860.0,bearman
driverId_ocon_num_slow_corners,1.184116747619591,839.0,ocon
driverId_antonelli_num_med_corners,1.277780108187666,861.0,antonelli
driverId_hulkenberg_corner_spd_min,1.306183674005532,807.0,hulkenberg
driverId_albon_num_slow_corners,1.7263799998855467,848.0,albon
driverId_alonso_strt_len_median,1.9161423803773536,4.0,alonso
driverId_tsunoda_num_slow_corners,2.143931317447972,852.0,tsunoda
driverId_stroll_num_fast_corners,2.1712199936718752,840.0,stroll
