Feature,Coefficient
prev_driver_position,0.0
prev_driver_wins,-0.0
prev_construct_position,0.0
prev_construct_wins,-0.0
driverId_857.0-strt_len_median,-0.27372730522606936
driverId_846.0-strt_len_median,-0.0
driverId_847.0-strt_len_median,-0.12078457507405763
driverId_830.0-strt_len_median,-0.0
driverId_848.0-strt_len_median,0.0
driverId_862.0-strt_len_median,0.0
driverId_844.0-strt_len_median,-0.0
driverId_1.0-strt_len_median,-0.0
driverId_832.0-strt_len_median,0.11127647448038949
driverId_852.0-strt_len_median,-0.0
driverId_865.0-strt_len_median,0.0
driverId_839.0-strt_len_median,0.0
driverId_842.0-strt_len_median,-0.0
driverId_807.0-strt_len_median,1.5311954181821188
driverId_4.0-strt_len_median,0.0
driverId_840.0-strt_len_median,0.0
driverId_861.0-strt_len_median,0.0
driverId_863.0-strt_len_median,0.24582629325176628
driverId_859.0-strt_len_median,-0.0
driverId_864.0-strt_len_median,-0.0
driverId_857.0-strt_len_min,-0.0
driverId_846.0-strt_len_min,-0.0
driverId_847.0-strt_len_min,-0.0
driverId_830.0-strt_len_min,-0.0
driverId_848.0-strt_len_min,0.7101145922726726
driverId_862.0-strt_len_min,0.3262425112570798
driverId_844.0-strt_len_min,-0.6602483880473659
driverId_1.0-strt_len_min,-0.44563630115113273
driverId_832.0-strt_len_min,1.4663207533708582
driverId_852.0-strt_len_min,-0.009479751290532223
driverId_865.0-strt_len_min,0.0
driverId_839.0-strt_len_min,0.0
driverId_842.0-strt_len_min,-0.5923223684637058
driverId_807.0-strt_len_min,0.045262109899900545
driverId_4.0-strt_len_min,0.0
driverId_840.0-strt_len_min,0.7562172915632104
driverId_861.0-strt_len_min,0.41490255568431134
driverId_863.0-strt_len_min,0.0
driverId_859.0-strt_len_min,-0.7718195373637995
driverId_864.0-strt_len_min,-0.08598917019955166
driverId_857.0-avg_track_spd,-0.0
driverId_846.0-avg_track_spd,-0.0
driverId_847.0-avg_track_spd,-0.0
driverId_830.0-avg_track_spd,-0.0
driverId_848.0-avg_track_spd,-0.0
driverId_862.0-avg_track_spd,-0.0
driverId_844.0-avg_track_spd,-0.0
driverId_1.0-avg_track_spd,-0.0
driverId_832.0-avg_track_spd,0.0
driverId_852.0-avg_track_spd,-0.0
driverId_865.0-avg_track_spd,0.0
driverId_839.0-avg_track_spd,0.0
driverId_842.0-avg_track_spd,-0.0
driverId_807.0-avg_track_spd,0.0
driverId_4.0-avg_track_spd,0.0
driverId_840.0-avg_track_spd,0.0
driverId_861.0-avg_track_spd,0.0
driverId_863.0-avg_track_spd,1.5031135637917743
driverId_859.0-avg_track_spd,0.0
driverId_864.0-avg_track_spd,0.0
driverId_857.0-corner_spd_median,-0.0
driverId_846.0-corner_spd_median,-0.09529068644680662
driverId_847.0-corner_spd_median,-0.0
driverId_830.0-corner_spd_median,-0.021479586756060397
driverId_848.0-corner_spd_median,-0.0
driverId_862.0-corner_spd_median,-0.0
driverId_844.0-corner_spd_median,-0.0
driverId_1.0-corner_spd_median,-0.0
driverId_832.0-corner_spd_median,-0.0
driverId_852.0-corner_spd_median,-0.0
driverId_865.0-corner_spd_median,-0.0
driverId_839.0-corner_spd_median,0.28637432640088206
driverId_842.0-corner_spd_median,0.0
driverId_807.0-corner_spd_median,0.0
driverId_4.0-corner_spd_median,-0.0
driverId_840.0-corner_spd_median,0.7924198125366475
driverId_861.0-corner_spd_median,0.0
driverId_863.0-corner_spd_median,0.0
driverId_859.0-corner_spd_median,0.0
driverId_864.0-corner_spd_median,0.0
driverId_857.0-corner_spd_max,-0.0
driverId_846.0-corner_spd_max,-0.0
driverId_847.0-corner_spd_max,-0.0
driverId_830.0-corner_spd_max,-0.0
driverId_848.0-corner_spd_max,-0.0
driverId_862.0-corner_spd_max,-0.0
driverId_844.0-corner_spd_max,-0.0
driverId_1.0-corner_spd_max,-0.0
driverId_832.0-corner_spd_max,0.0
driverId_852.0-corner_spd_max,-0.0
driverId_865.0-corner_spd_max,0.0
driverId_839.0-corner_spd_max,0.0
driverId_842.0-corner_spd_max,-0.0
driverId_807.0-corner_spd_max,0.0
driverId_4.0-corner_spd_max,0.0
driverId_840.0-corner_spd_max,0.0
driverId_861.0-corner_spd_max,0.0
driverId_863.0-corner_spd_max,0.005312314059164068
driverId_859.0-corner_spd_max,0.0
driverId_864.0-corner_spd_max,0.0
driverId_857.0-corner_spd_min,-0.4536128053465771
driverId_846.0-corner_spd_min,-0.0
driverId_847.0-corner_spd_min,-0.0
driverId_830.0-corner_spd_min,-0.0
driverId_848.0-corner_spd_min,-0.0
driverId_862.0-corner_spd_min,-0.0
driverId_844.0-corner_spd_min,-0.0
driverId_1.0-corner_spd_min,-0.0
driverId_832.0-corner_spd_min,0.0
driverId_852.0-corner_spd_min,-0.0
driverId_865.0-corner_spd_min,0.0
driverId_839.0-corner_spd_min,0.0
driverId_842.0-corner_spd_min,-0.0
driverId_807.0-corner_spd_min,0.0
driverId_4.0-corner_spd_min,0.0
driverId_840.0-corner_spd_min,0.0
driverId_861.0-corner_spd_min,0.0
driverId_863.0-corner_spd_min,0.0
driverId_859.0-corner_spd_min,0.0
driverId_864.0-corner_spd_min,0.0
driverId_857.0-num_slow_corners,-0.25012759460390627
driverId_846.0-num_slow_corners,-0.4501895875113846
driverId_847.0-num_slow_corners,-0.4707098994824455
driverId_830.0-num_slow_corners,-0.0
driverId_848.0-num_slow_corners,-0.4754951716126946
driverId_862.0-num_slow_corners,-0.0012676648675207685
driverId_844.0-num_slow_corners,0.0045753269913457965
driverId_1.0-num_slow_corners,-0.0
driverId_832.0-num_slow_corners,0.0
driverId_852.0-num_slow_corners,-0.32720060899296194
driverId_865.0-num_slow_corners,0.2920695563522692
driverId_839.0-num_slow_corners,-0.0
driverId_842.0-num_slow_corners,-0.0
driverId_807.0-num_slow_corners,0.0
driverId_4.0-num_slow_corners,0.8252134077194171
driverId_840.0-num_slow_corners,0.36493918277520593
driverId_861.0-num_slow_corners,0.9774086722273371
driverId_863.0-num_slow_corners,0.13375941413825848
driverId_859.0-num_slow_corners,1.3553409137736332
driverId_864.0-num_slow_corners,1.242508990626645
driverId_857.0-num_fast_corners,-0.0
driverId_846.0-num_fast_corners,-0.0
driverId_847.0-num_fast_corners,0.0
driverId_830.0-num_fast_corners,-0.6318855038874981
driverId_848.0-num_fast_corners,-0.1406335706336476
driverId_862.0-num_fast_corners,-0.4787807078041689
driverId_844.0-num_fast_corners,-0.1893319801645249
driverId_1.0-num_fast_corners,0.0
driverId_832.0-num_fast_corners,-0.9100559611621151
