Feature,Coefficient
prev_driver_position,-0.0
prev_driver_wins,0.08336001466723818
prev_construct_position,-0.1778074860805469
prev_construct_wins,0.0
driverId_857.0-strt_len_median,-0.0
driverId_847.0-strt_len_median,-0.37995908905295334
driverId_846.0-strt_len_median,-0.0
driverId_844.0-strt_len_median,-0.6135177164592122
driverId_1.0-strt_len_median,-0.0
driverId_830.0-strt_len_median,0.0
driverId_842.0-strt_len_median,-3.195378620341817
driverId_839.0-strt_len_median,0.0
driverId_852.0-strt_len_median,-0.0
driverId_859.0-strt_len_median,2.006040047056703
driverId_862.0-strt_len_median,-0.29483310291856973
driverId_848.0-strt_len_median,0.84393752289703
driverId_865.0-strt_len_median,0.0
driverId_864.0-strt_len_median,-0.14748442369466025
driverId_4.0-strt_len_median,0.0
driverId_861.0-strt_len_median,0.0
driverId_840.0-strt_len_median,0.0
driverId_863.0-strt_len_median,0.07198746066886193
driverId_832.0-strt_len_median,-0.6752907438330616
driverId_807.0-strt_len_median,0.0
driverId_857.0-strt_len_min,-0.0
driverId_847.0-strt_len_min,-0.0
driverId_846.0-strt_len_min,-0.0
driverId_844.0-strt_len_min,-0.9898340843353168
driverId_1.0-strt_len_min,-0.0
driverId_830.0-strt_len_min,0.0
driverId_842.0-strt_len_min,-0.0
driverId_839.0-strt_len_min,0.0
driverId_852.0-strt_len_min,-0.0
driverId_859.0-strt_len_min,0.0
driverId_862.0-strt_len_min,-0.49104507156865396
driverId_848.0-strt_len_min,0.0
driverId_865.0-strt_len_min,0.0
driverId_864.0-strt_len_min,-0.0
driverId_4.0-strt_len_min,0.0
driverId_861.0-strt_len_min,0.0
driverId_840.0-strt_len_min,0.5499662616436587
driverId_863.0-strt_len_min,0.6359907481895825
driverId_832.0-strt_len_min,-0.0
driverId_807.0-strt_len_min,0.7742428154399658
driverId_857.0-avg_track_spd,-0.0
driverId_847.0-avg_track_spd,-0.0
driverId_846.0-avg_track_spd,-0.0
driverId_844.0-avg_track_spd,-0.0
driverId_1.0-avg_track_spd,-0.0
driverId_830.0-avg_track_spd,0.0
driverId_842.0-avg_track_spd,-0.0
driverId_839.0-avg_track_spd,0.0
driverId_852.0-avg_track_spd,-0.0
driverId_859.0-avg_track_spd,0.0
driverId_862.0-avg_track_spd,-0.0
driverId_848.0-avg_track_spd,0.0
driverId_865.0-avg_track_spd,0.0
driverId_864.0-avg_track_spd,-0.0
driverId_4.0-avg_track_spd,0.0
driverId_861.0-avg_track_spd,0.0
driverId_840.0-avg_track_spd,0.0
driverId_863.0-avg_track_spd,0.0
driverId_832.0-avg_track_spd,-0.0
driverId_807.0-avg_track_spd,0.0
driverId_857.0-corner_spd_median,-0.0
driverId_847.0-corner_spd_median,-0.0
driverId_846.0-corner_spd_median,-0.0
driverId_844.0-corner_spd_median,-0.0
driverId_1.0-corner_spd_median,-0.0
driverId_830.0-corner_spd_median,-0.0
driverId_842.0-corner_spd_median,0.0
driverId_839.0-corner_spd_median,0.0
driverId_852.0-corner_spd_median,0.0
driverId_859.0-corner_spd_median,-0.0
driverId_862.0-corner_spd_median,-0.0
driverId_848.0-corner_spd_median,-0.0
driverId_865.0-corner_spd_median,-0.0
driverId_864.0-corner_spd_median,0.0
driverId_4.0-corner_spd_median,0.0
driverId_861.0-corner_spd_median,-0.0
driverId_840.0-corner_spd_median,0.0
