asset,constructor,score,price,type,weight,projected_gain,pred_score
VER,red_bull,29.3,28.8,driver,1.0,0.1,19
NOR,mclaren,39.8,30.0,driver,1.0,0.1,27
LEC,ferrari,20.0,24.7,driver,1.0,0.0,23
HAM,ferrari,24.5,23.2,driver,0.873,0.0,13
PIA,mclaren,31.0,23.4,driver,0.887,0.3,35
SAI,williams,6.0,10.7,driver,1.0,-0.6,-4
RUS,mercedes,27.3,22.0,driver,1.0,0.1,16
ALO,aston_martin,4.5,6.4,driver,1.0,-0.6,-2
DOO,alpine,6.33,5.6,driver,0.333,0.0,3
STR,aston_martin,10.5,9.7,driver,0.342,-0.6,2
TSU,red_bull,11.0,16.4,driver,1.0,-0.6,4
GAS,alpine,4.66,9.4,driver,1.0,-0.6,0
HUL,sauber,7.68,7.2,driver,0.55,-0.6,-4
ALB,williams,12.8,12.8,driver,0.643,-0.6,-2
ANT,mercedes,24.5,19.7,driver,0.3,0.0,10
HAD,racing_bulls,8.0,5.1,driver,0.5,0.2,2
BEA,haas,12.0,7.9,driver,0.686,0.6,10
BOR,sauber,4.5,4.5,driver,0.429,0.0,-1
OCO,haas,12.0,9.3,driver,1.0,0.0,4
LAW,racing_bulls,3.5,7.2,driver,1.0,-0.6,1
RED,red_bull,44.5,26.0,constructor,0.0,0.3,23
MCL,mclaren,83.8,31.2,constructor,0.0,0.3,62
FER,ferrari,55.0,27.3,constructor,0.0,0.3,36
MER,mercedes,63.0,23.9,constructor,0.0,0.3,26
AST,aston_martin,8.0,7.7,constructor,0.0,0.2,0
RB,racing_bulls,26.0,9.2,constructor,0.0,0.6,3
HAA,haas,27.8,9.4,constructor,0.0,0.6,14
ALP,alpine,12.5,7.9,constructor,0.0,0.6,3
KCK,sauber,7.5,5.4,constructor,0.0,-0.6,-5
WIL,williams,17.0,14.7,constructor,0.0,-0.6,-6
