Feature,Coefficient,driverId,driverRef
prev_driver_points_prop,-2.3407777409321384,driver,driver
driverId_bortoleto_num_slow_corners,-0.5260435267905423,864.0,bortoleto
driverId_leclerc_strt_len_median,-0.1575431074836708,844.0,leclerc
driverId_alonso_num_slow_corners,-0.1379244554393068,4.0,alonso
driverId_lawson_num_med_corners,-0.1150182394771645,862.0,lawson
driverId_stroll_num_slow_corners,-0.1114532267376078,840.0,stroll
driverId_russell_num_slow_corners,-0.0337009680731949,847.0,russell
driverId_tsunoda_num_slow_corners,0.0139759190235976,852.0,tsunoda
driverId_bearman_num_slow_corners,0.0783529772551314,860.0,bearman
driverId_antonelli_num_fast_corners,0.460956057041278,861.0,antonelli
driverId_sainz_num_fast_corners,0.4928637367488754,832.0,sainz
driverId_hadjar_num_fast_corners,0.4954418189849743,859.0,hadjar
prev_construct_position,1.2701962551250348,construct,construct
