Feature,Coefficient,driverId,driverRef
driverId_albon_num_fast_corners,-2.712200914766732,848.0,albon
driverId_tsunoda_num_fast_corners,-2.51922109733256,852.0,tsunoda
driverId_alonso_num_slow_corners,-1.4014694580197924,4.0,alonso
prev_driver_wins,-1.184217235996076,driver,driver
driverId_stroll_num_slow_corners,-1.0761025488833356,840.0,stroll
driverId_ocon_num_fast_corners,-0.9397267231695884,839.0,ocon
driverId_max_verstappen_num_fast_corners,-0.7746420878841151,830.0,max_verstappen
driverId_alonso_num_med_corners,-0.7215479394299744,4.0,alonso
driverId_stroll_corner_spd_min,-0.6604777970945785,840.0,stroll
driverId_bortoleto_num_slow_corners,-0.6241147659275325,864.0,bortoleto
driverId_leclerc_corner_spd_min,-0.613499757527324,844.0,leclerc
driverId_leclerc_num_slow_corners,-0.573168620240923,844.0,leclerc
driverId_russell_num_slow_corners,-0.5575388292506179,847.0,russell
driverId_hulkenberg_num_fast_corners,-0.5224757407191678,807.0,hulkenberg
driverId_hadjar_num_fast_corners,-0.4657259603722297,859.0,hadjar
driverId_alonso_corner_spd_min,-0.4227903084760118,4.0,alonso
driverId_norris_num_fast_corners,-0.4154695709557087,846.0,norris
driverId_gasly_num_fast_corners,-0.3063771332204301,842.0,gasly
driverId_norris_strt_len_median,-0.285336058904802,846.0,norris
driverId_piastri_num_fast_corners,-0.2277043983521071,857.0,piastri
driverId_russell_corner_spd_min,-0.213088433654122,847.0,russell
driverId_bortoleto_corner_spd_min,-0.2111364755853431,864.0,bortoleto
driverId_leclerc_strt_len_median,-0.208007435121903,844.0,leclerc
driverId_bearman_num_slow_corners,-0.1995534124077571,860.0,bearman
driverId_leclerc_avg_track_spd,-0.1549656182518219,844.0,leclerc
driverId_lawson_strt_len_median,-0.1483217697781169,862.0,lawson
driverId_leclerc_strt_len_min,-0.0735998484558997,844.0,leclerc
driverId_stroll_num_med_corners,-0.0445164298566874,840.0,stroll
driverId_lawson_strt_len_min,-0.0414719861472787,862.0,lawson
prev_construct_wins,-0.0308734473331044,construct,construct
driverId_norris_strt_len_min,-0.0224074880094384,846.0,norris
driverId_hamilton_num_slow_corners,-0.0170546642174668,1.0,hamilton
driverId_norris_corner_spd_median,-0.0085195802349371,846.0,norris
driverId_norris_avg_track_spd,-0.007831127836144,846.0,norris
driverId_lawson_avg_track_spd,-0.0064412126178569,862.0,lawson
driverId_lawson_corner_spd_median,-0.005988443065497,862.0,lawson
driverId_piastri_corner_spd_median,-0.0022334414154028,857.0,piastri
driverId_lawson_num_med_corners,-0.000639256136964,862.0,lawson
driverId_lawson_num_fast_corners,-0.0004752183786792,862.0,lawson
driverId_sainz_num_slow_corners,0.0018050201429503,832.0,sainz
driverId_sainz_corner_spd_min,0.0031553872199924,832.0,sainz
driverId_tsunoda_strt_len_min,0.0056070365795408,852.0,tsunoda
driverId_antonelli_corner_spd_min,0.0069943282074655,861.0,antonelli
driverId_sainz_strt_len_median,0.011340340286543,832.0,sainz
driverId_antonelli_num_slow_corners,0.016896348812089,861.0,antonelli
driverId_sainz_num_med_corners,0.024057988228984,832.0,sainz
driverId_tsunoda_strt_len_median,0.0332927536101532,852.0,tsunoda
driverId_hulkenberg_strt_len_min,0.0507479144879617,807.0,hulkenberg
driverId_tsunoda_avg_track_spd,0.0928935177993199,852.0,tsunoda
driverId_hadjar_num_slow_corners,0.0936586750327871,859.0,hadjar
driverId_russell_num_fast_corners,0.1569197424310836,847.0,russell
driverId_bearman_num_fast_corners,0.1623426268379273,860.0,bearman
driverId_gasly_corner_spd_min,0.1923465896717686,842.0,gasly
driverId_leclerc_num_fast_corners,0.2113709569994287,844.0,leclerc
driverId_hulkenberg_avg_track_spd,0.2355695356775191,807.0,hulkenberg
driverId_bortoleto_num_fast_corners,0.3344360894277872,864.0,bortoleto
driverId_max_verstappen_num_slow_corners,0.4676802260511355,830.0,max_verstappen
prev_driver_position,0.4960688277326235,driver,driver
driverId_tsunoda_num_med_corners,0.5969625325158048,852.0,tsunoda
driverId_ocon_corner_spd_min,0.6216485638188952,839.0,ocon
driverId_antonelli_num_fast_corners,0.644893306801567,861.0,antonelli
driverId_albon_num_med_corners,0.7117412681148072,848.0,albon
driverId_hulkenberg_corner_spd_min,0.7148151914025337,807.0,hulkenberg
driverId_gasly_num_slow_corners,0.7592596216538122,842.0,gasly
driverId_tsunoda_corner_spd_min,0.7612253240281431,852.0,tsunoda
driverId_hulkenberg_num_slow_corners,0.8008569748514408,807.0,hulkenberg
prev_construct_position,0.8698752364578111,construct,construct
driverId_albon_corner_spd_min,0.8937951456618365,848.0,albon
driverId_ocon_num_slow_corners,0.9062785139458212,839.0,ocon
driverId_sainz_num_fast_corners,1.0796548874471763,832.0,sainz
driverId_antonelli_strt_len_median,1.1630245157922656,861.0,antonelli
driverId_tsunoda_num_slow_corners,1.343804145616349,852.0,tsunoda
driverId_albon_num_slow_corners,1.4119421369187926,848.0,albon
driverId_hamilton_num_fast_corners,1.569065282816671,1.0,hamilton
driverId_stroll_num_fast_corners,1.915668403473963,840.0,stroll
driverId_alonso_num_fast_corners,3.0878830488318427,4.0,alonso
