asset,constructor,score,price,type,weight,projected_gain,pred_score
VER,red_bull,16.4,28.3,driver,1.0,-0.07,10
NOR,mclaren,27.6,31.1,driver,1.0,0.18,35
LEC,ferrari,20.2,24.0,driver,1.0,-0.09,23
HAM,ferrari,23.0,23.7,driver,0.873,0.17,19
PIA,mclaren,37.2,26.1,driver,0.887,0.28,27
SAI,williams,1.0,6.5,driver,1.0,-0.48,-2
RUS,mercedes,23.4,22.3,driver,1.0,-0.14,16
ALO,aston_martin,11.8,6.9,driver,1.0,0.09,0
DOO,alpine,-100.0,0.0,driver,0.333,0.0,-100
STR,aston_martin,4.4,9.1,driver,0.342,0.44,10
TSU,red_bull,5.8,11.8,driver,1.0,-0.59,5
GAS,alpine,3.8,6.0,driver,1.0,-0.47,0
HUL,sauber,23.8,9.0,driver,0.55,0.58,-1
ALB,williams,-5.4,10.6,driver,0.643,-0.07,0
ANT,mercedes,2.0,16.5,driver,0.3,-0.55,4
HAD,racing_bulls,-0.8,5.7,driver,0.5,-0.6,-4
BEA,haas,8.4,8.1,driver,0.686,0.14,9
BOR,sauber,4.2,4.7,driver,0.429,-0.2,0
OCO,haas,8.0,9.1,driver,1.0,-0.51,-6
LAW,racing_bulls,-1.4,4.5,driver,1.0,0.0,16
COL,alpine,,,driver,,,
RED,red_bull,35.2,28.1,constructor,0.0,0.29,15
MCL,mclaren,82.2,33.9,constructor,0.0,0.3,62
FER,ferrari,59.2,30.0,constructor,0.0,0.3,42
MER,mercedes,37.4,25.4,constructor,0.0,0.23,20
AST,aston_martin,21.8,10.7,constructor,0.0,0.6,10
VRB,racing_bulls,9.4,11.8,constructor,0.0,-0.6,3
HAA,haas,21.0,12.0,constructor,0.0,0.47,3
ALP,alpine,10.2,8.9,constructor,0.0,-0.51,3
KCK,sauber,32.2,8.7,constructor,0.0,0.52,-1
WIL,williams,0.6,14.9,constructor,0.0,0.22,-2
