asset,constructor,score,price,type,weight,projected_gain,pred_score
VER,red_bull,16.4,28.2,driver,1.0,0.0,16.0
NOR,mclaren,27.6,31.4,driver,1.0,0.1,35.0
LEC,ferrari,20.2,23.9,driver,1.0,0.0,4.0
HAM,ferrari,23.0,23.8,driver,0.873,0.0,13.0
PIA,mclaren,37.2,26.4,driver,0.887,0.3,27.0
SAI,williams,1.0,5.9,driver,1.0,-0.2,-1.0
RUS,mercedes,23.4,22.4,driver,1.0,0.1,19.0
ALO,aston_martin,11.8,7.5,driver,1.0,0.6,23.0
DOO,alpine,-100.0,0.0,driver,0.333,0.0,-100.0
STR,aston_martin,4.4,9.7,driver,0.342,0.0,2.0
TSU,red_bull,5.8,11.2,driver,1.0,-0.6,1.0
GAS,alpine,3.8,5.4,driver,1.0,-0.6,-3.0
HUL,sauber,23.8,9.6,driver,0.55,0.0,4.0
ALB,williams,-5.4,11.2,driver,0.643,0.2,12.0
ANT,mercedes,2.0,15.9,driver,0.3,0.0,4.0
HAD,racing_bulls,-0.8,5.1,driver,0.5,-0.6,-4.0
BEA,haas,8.4,7.5,driver,0.686,-0.6,12.0
BOR,sauber,4.2,4.5,driver,0.429,0.6,-3.0
OCO,haas,8.0,8.5,driver,1.0,-0.6,6.0
LAW,racing_bulls,-1.4,4.5,driver,1.0,0.6,2.0
COL,alpine,,4.5,driver,,0.0,-8.0
RED,red_bull,35.2,28.4,constructor,0.0,0.3,17.0
MCL,mclaren,82.2,34.2,constructor,0.0,0.3,62.0
FER,ferrari,59.2,30.3,constructor,0.0,0.3,17.0
MER,mercedes,37.4,25.7,constructor,0.0,0.3,23.0
AST,aston_martin,21.8,11.3,constructor,0.0,0.6,25.0
VRB,racing_bulls,9.4,11.2,constructor,0.0,0.6,3.0
HAA,haas,21.0,11.8,constructor,0.0,0.0,18.0
ALP,alpine,10.2,8.3,constructor,0.0,-0.6,-11.0
KCK,sauber,32.2,9.3,constructor,0.0,0.6,1.0
WIL,williams,0.6,15.5,constructor,0.0,0.6,11.0
