[DRIVER]: NOR [PRED]: [[1.77]] [BIAS]: [10.24168421]
---                                 Input Value  Feature Score
prev_driver_points_prop             2.260182      -7.096549
prev_construct_points_prop          2.557400      -0.598996
driverId_846.0-strt_len_min         4.358899      -0.392856
driverId_847.0-num_slow_corners    -0.229416      -0.205569
driverId_1.0-num_med_corners       -0.229416      -0.112312
driverId_844.0-strt_len_min        -0.229416      -0.062963
driverId_830.0-num_fast_corners    -0.229416      -0.047378
driverId_1.0-strt_len_min          -0.229416      -0.008961
driverId_844.0-num_slow_corners    -0.229416       0.053901

[DRIVER]: PIA [PRED]: [[2.08]] [BIAS]: [10.24168421]
---                                 Input Value  Feature Score
prev_driver_points_prop             2.296719      -7.170284
prev_construct_points_prop          2.557400      -0.662669
driverId_847.0-num_slow_corners    -0.229416      -0.212397
driverId_1.0-num_med_corners       -0.229416      -0.112312
driverId_844.0-strt_len_min        -0.229416      -0.062963
driverId_830.0-num_fast_corners    -0.229416      -0.041601
driverId_1.0-strt_len_min          -0.229416      -0.008961
driverId_844.0-num_slow_corners    -0.229416       0.052476
driverId_846.0-strt_len_min        -0.229416       0.057027

[DRIVER]: LEC [PRED]: [[2.98]] [BIAS]: [10.24168421]
---                                 Input Value  Feature Score
prev_driver_points_prop             0.823050      -6.781353
prev_construct_points_prop          0.640690      -0.397412
driverId_847.0-num_slow_corners    -0.229416      -0.144115
driverId_1.0-num_med_corners       -0.229416      -0.123800
driverId_844.0-strt_len_min         4.358899      -0.057589
driverId_830.0-num_fast_corners    -0.229416      -0.011518
driverId_861.0-num_med_corners     -0.229416      -0.004028
driverId_1.0-strt_len_min          -0.229416       0.002858
driverId_846.0-strt_len_min        -0.229416       0.044165
driverId_844.0-num_slow_corners     4.358899       0.211107

[DRIVER]: HAM [PRED]: [[10.92]] [BIAS]: [10.24168421]
---                                 Input Value  Feature Score
driverId_1.0-num_med_corners        4.358899      -0.143812
driverId_852.0-num_slow_corners    -0.229416      -0.102109
driverId_848.0-num_slow_corners    -0.229416      -0.072393
driverId_807.0-corner_spd_min      -0.229416      -0.068026
driverId_839.0-num_slow_corners    -0.229416      -0.044032
driverId_807.0-num_slow_corners    -0.229416      -0.042231
driverId_852.0-strt_len_min        -0.229416      -0.039182
driverId_832.0-strt_len_median     -0.229416      -0.037579
driverId_860.0-strt_len_min        -0.229416      -0.024972
driverId_840.0-strt_len_min        -0.229416      -0.024526
driverId_839.0-strt_len_min        -0.229416      -0.017644
driverId_807.0-strt_len_min        -0.229416      -0.016817
driverId_842.0-num_slow_corners    -0.229416      -0.015823
driverId_830.0-num_fast_corners    -0.229416      -0.012595
driverId_860.0-num_fast_corners    -0.229416      -0.009683
driverId_861.0-num_med_corners     -0.229416      -0.005862
driverId_832.0-strt_len_min        -0.229416      -0.004687
driverId_864.0-num_fast_corners    -0.229416      -0.004672
driverId_840.0-num_fast_corners    -0.229416      -0.003233
driverId_4.0-num_fast_corners      -0.229416      -0.002139
driverId_846.0-strt_len_min        -0.229416       0.001333
driverId_842.0-num_fast_corners    -0.229416       0.003789
driverId_847.0-num_slow_corners    -0.229416       0.004450
driverId_862.0-num_fast_corners    -0.229416       0.004773
driverId_852.0-num_fast_corners    -0.229416       0.005190
driverId_862.0-strt_len_min        -0.229416       0.005532
driverId_864.0-strt_len_min        -0.229416       0.010853
driverId_1.0-strt_len_min           4.358899       0.025629
driverId_864.0-num_slow_corners    -0.229416       0.031883
driverId_844.0-strt_len_min        -0.229416       0.039665
driverId_844.0-num_slow_corners    -0.229416       0.056277
driverId_840.0-num_slow_corners    -0.229416       0.061735
driverId_4.0-num_slow_corners      -0.229416       0.074353
driverId_848.0-num_fast_corners    -0.229416       0.080515
prev_construct_points_prop          0.640690       0.479440
prev_driver_points_prop             0.250633       0.484911

[DRIVER]: RUS [PRED]: [[4.91]] [BIAS]: [10.24168421]
---                                 Input Value  Feature Score
prev_driver_points_prop             1.066632      -6.063864
driverId_1.0-num_med_corners       -0.229416      -0.126767
driverId_861.0-num_med_corners     -0.229416      -0.004028
driverId_846.0-strt_len_min        -0.229416       0.005219
driverId_1.0-strt_len_min          -0.229416       0.005745
driverId_844.0-strt_len_min        -0.229416       0.034124
driverId_844.0-num_slow_corners    -0.229416       0.063137
driverId_830.0-num_fast_corners    -0.229416       0.098669
prev_construct_points_prop          0.540164       0.193956
driverId_847.0-num_slow_corners     4.358899       0.462125

[DRIVER]: LAW [PRED]: [[12.34]] [BIAS]: [10.24168421]
---                                 Input Value  Feature Score
prev_construct_points_prop         -0.672859      -0.494032
driverId_807.0-corner_spd_min      -0.229416      -0.107412
driverId_862.0-strt_len_min         4.358899      -0.106186
driverId_852.0-num_slow_corners    -0.229416      -0.105778
driverId_832.0-strt_len_median     -0.229416      -0.095946
driverId_839.0-num_slow_corners    -0.229416      -0.077159
driverId_4.0-num_fast_corners      -0.229416      -0.070821
driverId_842.0-num_slow_corners    -0.229416      -0.068467
driverId_807.0-num_slow_corners    -0.229416      -0.064863
driverId_860.0-strt_len_min        -0.229416      -0.064384
driverId_840.0-strt_len_min        -0.229416      -0.061101
driverId_807.0-strt_len_min        -0.229416      -0.060274
driverId_861.0-num_med_corners     -0.229416      -0.057816
driverId_860.0-num_fast_corners    -0.229416      -0.049073
driverId_848.0-num_slow_corners    -0.229416      -0.048598
driverId_852.0-strt_len_min        -0.229416      -0.045126
driverId_832.0-strt_len_min        -0.229416      -0.037582
driverId_862.0-num_fast_corners     4.358899      -0.035954
driverId_839.0-strt_len_min        -0.229416      -0.029767
driverId_842.0-num_fast_corners    -0.229416      -0.025124
driverId_864.0-num_fast_corners    -0.229416      -0.023668
driverId_4.0-num_slow_corners      -0.229416      -0.017205
driverId_840.0-num_fast_corners    -0.229416      -0.013208
driverId_842.0-strt_len_min        -0.229416      -0.009082
driverId_852.0-num_fast_corners    -0.229416       0.001399
