asset,constructor,score,price
VER,red_bull,311,26.5
NOR,mclaren,321,27.0
LEC,ferrari,333,24.0
HAM,ferrari,270,23.0
PIA,mclaren,369,22.0
SAI,williams,29,11.5
RUS,mercedes,221,20.5
ALO,aston_martin,77,13.5
DOO,alpine,0,6.5
STR,aston_martin,26,9.0
TSU,racing_bulls,48,7.5
GAS,alpine,33,8.5
HUL,sauber,2,7.5
LAW,red_bull,178,10.9
ALB,williams,19,8.6
ANT,mercedes,130,16.5
HAD,racing_bulls,20,5.5
BEA,haas,15,8.0
BOR,sauber,0,5.0
OCO,haas,11,7.8
RED,red_bull,489,25.5
MCL,mclaren,690,28.0
FER,ferrari,603,24.5
MER,mercedes,351,22.0
AST,aston_martin,103,12.0
RB,racing_bulls,68,6.0
HAA,haas,26,9.0
ALP,alpine,33,7.0
KCK,sauber,2,5.0
WIL,williams,48,8.0
